timestamp,TC_ASRControlSts,BLCActive,TC_VDCShiftInterferenceValidData,TC_VDCShiftInterference,MasterCylinderPressureValidData,MasterCylinderPressure,CommandedSilenceRequest,ERMActive,RollsModeAct,HillHolderActive,TTCActive,HBAActive,PrefillActive
1589449617.7860227,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449617.795842,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449617.8059006,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449617.8157418,0,0,0,0,0,15.0,0,0,0,0,0,0,0
1589449617.8258545,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449617.8359995,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449617.8458602,0,0,0,0,0,15.0,0,0,0,0,0,0,0
1589449617.8557336,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449617.8658645,0,0,0,0,0,15.0,0,0,0,0,0,0,0
1589449617.8760133,0,0,0,0,0,15.0,0,0,0,0,0,0,0
1589449617.885888,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449617.895845,0,0,0,0,0,15.0,0,0,0,0,0,0,0
1589449617.9058719,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449617.9157362,0,0,0,0,0,15.0,0,0,0,0,0,0,0
1589449617.925859,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449617.936002,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449617.9464374,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449617.9559152,0,0,0,0,0,15.0,0,0,0,0,0,0,0
1589449617.9658651,0,0,0,0,0,15.0,0,0,0,0,0,0,0
1589449617.9771767,0,0,0,0,0,15.0,0,0,0,0,0,0,0
1589449617.9858763,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449617.9970083,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.007043,0,0,0,0,0,14.75,0,0,0,0,0,0,0
