timestamp,BatteryVoltageLevelHP,StateOfCharge,VoltageMin,VoltageMax,BatteryCurrentLevel,BatteryTemperature,IBSFailSts,BCMSAMFailSts
1588751247.527615,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751247.626661,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751247.726765,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751247.826732,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751247.926664,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751248.026686,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751248.126786,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751248.226688,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751248.329498,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751248.426756,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751248.526661,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751248.626737,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751248.72664,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751248.826806,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751248.926699,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751249.226903,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751249.526698,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751249.027107,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751249.126917,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751249.326653,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751249.426656,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751249.627172,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751249.726678,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751249.829483,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751249.92668,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751250.726681,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751250.826839,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751250.026684,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751250.126706,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751250.226821,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751250.326662,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751250.426664,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751250.526653,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751250.627605,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751250.926732,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751251.026654,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751251.126634,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751251.22763,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751251.326628,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751251.426812,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751251.526689,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751251.626657,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751251.726961,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751251.826617,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751251.926608,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751252.726681,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751252.026809,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751252.126682,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751252.226605,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751252.326602,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751252.426608,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751252.526716,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751252.629533,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751252.826806,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751252.926665,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751253.527035,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751253.626833,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751253.026628,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751253.129366,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751253.226743,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751253.426922,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751253.326835,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751253.826797,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751253.927157,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751253.726778,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751254.129912,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751254.626658,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751254.72708,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751254.026665,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751254.226685,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751254.329429,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751254.426678,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751254.529316,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751254.826751,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751254.926623,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751255.026623,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751255.126632,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751255.226689,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751255.326681,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751255.426788,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751255.526909,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751255.626553,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751255.726509,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751255.826716,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751255.927055,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751256.026685,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751256.126529,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751256.22654,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751256.326528,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751256.426523,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751256.526537,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751256.62669,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751256.726508,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751256.826521,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751256.92693,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751257.026543,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751257.12656,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751257.226688,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751257.326528,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751257.426531,4.0,0,10.6,14.8,-250.0,-30,0,0
